City,Country,City ID,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Punta Arenas,CL,3874787,-53.15,-70.9167,46.4,87,0,10.36,1619272607
Gannan,CN,2037311,47.9147,123.5031,48.7,23,0,5.12,1619272608
Hobart,AU,2163355,-42.8794,147.3294,50.0,66,40,6.91,1619272609
Rundu,NA,3353383,-17.9333,19.7667,84.65,17,0,3.33,1619272609
Mataura,NZ,6201424,-46.1927,168.8643,43.0,92,14,5.01,1619272610
Aykhal,RU,2027296,66.0,111.5,22.41,94,85,8.9,1619272611
Touros,BR,3386213,-5.1989,-35.4608,84.2,70,40,8.05,1619272611
Saskylakh,RU,2017155,71.9167,114.0833,32.86,93,100,14.18,1619272612
New Norfolk,AU,2155415,-42.7826,147.0587,50.0,80,100,1.01,1619272613
Pahrump,US,5509851,36.2083,-115.9839,63.0,33,100,12.48,1619272614
Vestmannaeyjar,IS,3412093,63.4427,-20.2734,44.6,93,90,19.57,1619272614
Tiksi,RU,2015306,71.6872,128.8694,27.01,94,100,10.85,1619272615
São Filipe,CV,3374210,14.8961,-24.4956,72.21,74,45,11.86,1619272616
Opochka,RU,515155,56.7105,28.6617,42.26,59,100,12.53,1619272617
Assiniboia,CA,5887798,49.6334,-105.9845,26.6,46,13,4.61,1619272618
Cape Town,ZA,3369157,-33.9258,18.4232,72.0,53,0,12.66,1619272496
Yellowknife,CA,6185377,62.456,-114.3525,14.0,78,20,2.3,1619272619
Yangi Marg`ilon,UZ,1513491,40.4272,71.7189,71.6,23,100,9.22,1619272620
Bluff,NZ,2206939,-46.6,168.3333,43.0,92,70,5.01,1619272620
Punta Cardon,VE,3629614,11.6581,-70.215,81.55,71,39,25.59,1619272622
Taloqan,AF,1123004,36.7361,69.5345,65.1,37,65,3.44,1619272622
Busselton,AU,2075265,-33.65,115.3333,59.0,85,1,3.69,1619272623
La Ronge,CA,6050066,55.1001,-105.2842,17.6,62,16,5.75,1619272624
Ribeira Grande,PT,3372707,38.5167,-28.7,60.8,67,75,10.36,1619272624
Seoul,KR,1835848,37.5683,126.9778,59.0,76,0,5.75,1619272519
Kulunda,RU,1501460,52.566,78.9385,45.5,38,20,4.25,1619272626
Castro,BR,3466704,-24.7911,-50.0119,69.78,55,25,1.39,1619272438
North Branch,US,5039421,45.5113,-92.9802,34.0,99,99,7.0,1619272628
Vilyuysk,RU,2013392,63.7553,121.6247,33.67,95,100,6.11,1619272628
Bambanglipuro,ID,1650434,-7.95,110.2833,77.32,79,2,3.85,1619272629
Ushuaia,AR,3833367,-54.8,-68.3,44.6,81,75,5.75,1619272631
Sitka,US,5557293,57.0531,-135.33,44.6,49,20,5.75,1619272631
Arica,CL,3899361,-18.475,-70.3042,66.2,68,90,5.75,1619272632
Codrington,AU,2171099,-38.2667,141.9667,51.51,87,100,5.77,1619272633
Abu Kamal,SY,174448,34.4506,40.9171,92.34,10,94,2.17,1619272634
Thompson,CA,6165406,55.7435,-97.8558,15.8,62,75,3.74,1619272501
Port Alfred,ZA,964432,-33.5906,26.891,73.24,64,13,14.54,1619272635
Vaini,TO,4032243,-21.2,-175.2,71.6,94,40,1.14,1619272636
Belaya Gora,RU,2126785,68.5333,146.4167,-0.78,100,90,2.19,1619272636
Cap-aux-Meules,CA,5915327,47.3821,-61.8597,41.0,75,37,17.27,1619272637
